DUPLICATE FILE NAMES REPORT
Generated: 2025-12-25 13:13:30
Root Folder: C:\MyData
===============================================

SUMMARY
===============================================
Total files scanned: 63917
Unique file names: 38635
Duplicate file names: 14215
Total files with duplicate names: 39497

===============================================
DUPLICATE FILES (Ordered by Total Size Descending)
===============================================
FileName                                                                         Occurrences  TotalSizeMB     TotalSizeGB    
IMG-20230124-WA0006.jpg                                                          2            0.07            0              
IMG-20230125-WA0010.jpg                                                          2            0.35            0              
IMG-20230125-WA0006.jpg                                                          2            0.06            0              
IMG-20230125-WA0003.jpg                                                          2            0.08            0              
IMG-20230124-WA0003.jpg                                                          2            0.47            0              
IMG-20230123-WA0024.jpg                                                          2            0.04            0              
IMG-20230123-WA0022.jpg                                                          2            0.11            0              
IMG-20230123-WA0019.jpg                                                          2            0.26            0              
IMG-20230124-WA0002.jpg                                                          2            0.33            0              
IMG-20230124-WA0001.jpg                                                          2            0.16            0              
IMG-20230124-WA0000.jpg                                                          2            0.09            0              
IMG-20230125-WA0011.jpg                                                          2            0.26            0              
IMG-20230126-WA0019.jpg                                                          2            0.09            0              
IMG-20230126-WA0018.jpg                                                          2            0.05            0              
IMG-20230126-WA0016.jpg                                                          2            0.13            0              
IMG-20230126-WA0028.jpg                                                          2            0.11            0              
IMG-20230126-WA0025.jpg                                                          2            0.12            0              
IMG-20230126-WA0021.jpg                                                          2            0.12            0              
IMG-20230126-WA0013.jpg                                                          2            0.07            0              
IMG-20230126-WA0005.jpg                                                          2            0.08            0              
IMG-20230126-WA0004.jpg                                                          2            0.12            0              
IMG-20230125-WA0012.jpg                                                          2            0.27            0              
IMG-20230126-WA0012.jpg                                                          2            0.06            0              
IMG-20230126-WA0010.jpg                                                          2            0.04            0              
IMG-20230126-WA0008.jpg                                                          2            0.04            0              
IMG-20230127-WA0023.jpg                                                          2            0.09            0              
IMG-20230131-WA0004.jpg                                                          2            0.2             0              
IMG-20230131-WA0003.jpg                                                          2            0.06            0              
IMG-20230131-WA0001.jpg                                                          2            0.15            0              
IMG-20230131-WA0007.jpg                                                          2            0.22            0              
IMG-20230131-WA0006.jpg                                                          2            0.22            0              
IMG-20230131-WA0005.jpg                                                          2            0.49            0              
IMG-20230131-WA0000.jpg                                                          2            0.1             0              
IMG-20230130-WA0015.jpg                                                          2            0.04            0              
IMG-20230130-WA0014.jpg                                                          2            0.16            0              
IMG-20230130-WA0013.jpg                                                          2            0.07            0              
IMG-20230130-WA0020.jpg                                                          2            0.15            0              
IMG-20230130-WA0018.jpg                                                          2            0.09            0              
IMG-20230130-WA0016.jpg                                                          2            0.12            0              
IMG-20230131-WA0008.jpg                                                          2            0.21            0              
IMG-20230131-WA0032.jpg                                                          2            0.09            0              
IMG-20230131-WA0031.jpg                                                          2            0.1             0              
IMG-20230131-WA0030.jpg                                                          2            0.49            0              
IMG-20230131-WA0035.jpg                                                          2            0.12            0              
IMG-20230131-WA0034.jpg                                                          2            0.14            0              
IMG-20230131-WA0033.jpg                                                          2            0.1             0              
IMG-20230131-WA0029.jpg                                                          2            0.52            0              
IMG-20230131-WA0018.jpg                                                          2            0.61            0              
IMG-20230131-WA0015.jpg                                                          2            0.11            0              
IMG-20230131-WA0009.jpg                                                          2            0.2             0              
IMG-20230131-WA0024.jpg                                                          2            0.65            0              
IMG-20230131-WA0022.jpg                                                          2            0.53            0              
IMG-20230131-WA0019.jpg                                                          2            0.63            0              
IMG-20230130-WA0012.jpg                                                          2            0.14            0              
IMG-20230129-WA0000.jpg                                                          2            0.06            0              
IMG-20230128-WA0015.jpg                                                          2            0.54            0              
IMG-20230128-WA0011.jpg                                                          2            0.06            0              
IMG-20230129-WA0003.jpg                                                          2            0.17            0              
IMG-20230129-WA0002.jpg                                                          2            0.09            0              
IMG-20230129-WA0001.jpg                                                          2            0.19            0              
IMG-20230128-WA0010.jpg                                                          2            0.14            0              
IMG-20230128-WA0004.jpg                                                          2            0.12            0              
IMG-20230127-WA0026.jpg                                                          2            0.09            0              
IMG-20230127-WA0025.jpg                                                          2            0.08            0              
IMG-20230128-WA0009.jpg                                                          2            0.05            0              
IMG-20230128-WA0008.jpg                                                          2            0.1             0              
IMG-20230128-WA0006.jpg                                                          2            0.05            0              
IMG-20230129-WA0004.jpg                                                          2            0.04            0              
IMG-20230130-WA0005.jpg                                                          2            0.39            0              
IMG-20230130-WA0004.jpg                                                          2            0.44            0              
IMG-20230130-WA0003.jpg                                                          2            0.41            0              
IMG-20230130-WA0009.jpg                                                          2            0.15            0              
IMG-20230130-WA0007.jpg                                                          2            0.39            0              
IMG-20230130-WA0006.jpg                                                          2            0.56            0              
IMG-20230130-WA0001.jpg                                                          2            0.49            0              
IMG-20230129-WA0007.jpg                                                          2            0.54            0              
IMG-20230129-WA0006.jpg                                                          2            0.45            0              
IMG-20230129-WA0005.jpg                                                          2            0.15            0              
IMG-20230129-WA0010.jpg                                                          2            0.62            0              
IMG-20230129-WA0009.jpg                                                          2            0.53            0              
IMG-20230129-WA0008.jpg                                                          2            0.6             0              
IMG-20230228-WA0002.jpg                                                          2            0.39            0              
IMG-20230228-WA0001.jpg                                                          2            0.29            0              
IMG-20230228-WA0000.jpg                                                          2            0.36            0              
IMG-20230228-WA0005.jpg                                                          2            0.36            0              
IMG-20230228-WA0004.jpg                                                          2            0.26            0              
IMG-20230228-WA0003.jpg                                                          2            0.39            0              
IMG-20230227-WA0004.jpg                                                          2            0.12            0              
IMG-20230227-WA0000.jpg                                                          2            0.13            0              
IMG-20230226-WA0015.jpg                                                          2            0.33            0              
IMG-20230226-WA0014.jpg                                                          2            0.3             0              
IMG-20230227-WA0003.jpg                                                          2            0.13            0              
