"FileName","FullPath","SizeBytes","SizeMB","LastModified","DuplicateCount"
".project","C:\MyData\OLD DOK\DOK\workspace\compil\.project","216","0","2012-01-23 22:59:56","31"
".project","C:\MyData\OLD DOK\DOK\workspace\compilation\.project","215","0","2012-01-27 16:52:36","31"
".project","C:\MyData\OLD DOK\DOK\workspace\final_project\.project","217","0","2012-02-01 13:05:14","31"
".project","C:\MyData\OLD DOK\DOK\workspace\hw\.project","373","0","2011-11-14 19:00:24","31"
".project","C:\MyData\OLD DOK\DOK\workspace\ml\.project","206","0","2011-11-21 21:41:14","31"
".project","C:\MyData\OLD DOK\DOK\workspace\mmmlll\.project","210","0","2011-11-22 02:12:40","31"
".project","C:\MyData\OLD DOK\DOK\workspace\My_1\.project","380","0","2012-01-13 09:32:28","31"
".project","C:\MyData\OLD DOK\DOK\workspace\RiffMaker\.project","385","0","2011-11-21 03:29:02","31"
".project","C:\MyData\OLD DOK\DOK\workspace\RiffMaker_o\.project","385","0","2011-11-21 13:29:02","31"
".project","C:\MyData\OLD DOK\DOK\workspace\test\.project","380","0","2012-01-13 08:22:20","31"
".project","C:\MyData\OLD DOK\DOK\workspace\Testy\.project","381","0","2012-11-17 15:49:58","31"
".project","C:\MyData\OLD DOK\PROJECT\Data_Project\DataCorruption\.project","390","0","2013-05-14 13:37:52","31"
".project","C:\MyData\OLD DOK\PROJECT\DataCorruption\.project","390","0","2013-06-14 14:32:00","31"
".project","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\.project","390","0","2013-07-03 18:28:50","31"
"all_obs.xml","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\all_obs.xml","9389","0.01","2013-06-27 04:18:38","2"
"all_obs.xml","C:\MyData\OLD DOK\PROJECT\Xml\Training Sets\2007 group A daily per month\size 11\all_obs.xml","9387","0.01","2013-05-22 18:09:54","2"
"Feb.xml","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Feb.xml","720","0","2013-06-27 04:18:26","3"
"Feb.xml","C:\MyData\OLD DOK\7-6-2013\DataCorruption\Feb.xml","720","0","2013-06-07 14:57:30","3"
"Feb.xml","C:\MyData\OLD DOK\PROJECT\DataCorruption\Feb.xml","720","0","2013-06-14 14:32:00","3"
"four.txt","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\four.txt","25","0","2013-06-27 04:18:40","17"
"four.txt","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-06-27 04:18:38","17"
"four.txt","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-06-27 04:18:38","17"
"four.txt","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-07-03 13:35:42","17"
"four.txt","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-07-03 13:35:42","17"
"four.txt","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-07-03 18:29:00","17"
"four.txt","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-07-03 18:29:00","17"
"four.txt","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-08-11 16:42:14","17"
"four.txt","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-08-11 16:42:14","17"
"four.txt","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-08-16 04:17:34","17"
"four.txt","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-08-16 04:17:34","17"
"four.txt","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-09-03 03:14:20","17"
"four.txt","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-09-03 03:14:20","17"
"four.txt","C:\MyData\OLD DOK\PROJECT\DataCorruption\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-05-29 14:38:58","17"
"four.txt","C:\MyData\OLD DOK\PROJECT\DataCorruption\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-05-29 15:06:40","17"
"four.txt","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\29-5-2013\4 sequences test\four.txt","25","0","2013-07-03 18:29:00","17"
"four.txt","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\29-5-2013\compare C implementation\four.txt","25","0","2013-07-03 18:29:00","17"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\HMMExperiment_out.txt","692378","0.66","2013-06-27 04:18:26","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-06-27 04:18:38","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_13-31\DataCorruption\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-07-03 13:35:42","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\3-7-2013\DC_3-7-2013_18-28\DataCorruption\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-07-03 18:29:00","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\DataCorruption_a\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-08-11 16:42:14","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\DataCorruption_Bash\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-08-16 04:17:34","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\DataCorruption_bs_3-9-2013\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-09-03 03:14:22","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\PROJECT\DataCorruption\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-05-30 13:50:18","9"
"HMMExperiment_out.txt","C:\MyData\OLD DOK\PROJECT\DataCorruption_12-7-2013\DataCorruption\Short Tests\30-5-2013\HMMExperiment_out.txt","31212","0.03","2013-07-03 18:29:00","9"
"hmm_1.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\hmm_1.datcor","4132","0","2013-06-27 04:18:40","40"
"hmm_1.datcor","C:\MyData\OLD DOK\27-6-2013\DataCorruption_27-6-2013_4-18\Short Tests\19-6-2013\1000 iters_1\hmm_1.datcor","4132","0","2013-06-27 04:18:34","40"
